accident_id,timestamp,lat,lng,nearest_cluster,road_type,speed_limit,lane_count,traffic_density,weather,time_of_day,hour,day_of_week,is_weekend,month,nearby_defect_count_500m,defect_severity_index,risk_score,accident_severity_code,is_high_risk
ACC-PRG-20046,2025-04-28T08:44:00,25.445661,81.882852,Shastri Bridge (Ganga),Bridge / Flyover,50,4,Low,Clear,Morning Rush,8,0,0,4,13,10.0,0.3449,0,0
ACC-PRG-20047,2026-05-30T19:11:00,25.383127,81.870927,Naini Industrial Area,Suburban Arterial,50,2,Moderate,Clear,Evening Rush,19,5,1,5,10,10.0,0.276,0,0
ACC-PRG-20048,2025-07-16T04:27:00,25.448306,81.83378,MG Marg Corridor,Major Arterial,45,2,High,Clear,Early Hours,4,2,0,7,39,10.0,0.311,0,0
ACC-PRG-20049,2025-08-25T07:21:00,25.45029,81.823047,Prayagraj Junction (Civil Lines side),Dense Urban Street,25,2,High,Rain,Morning Rush,7,0,0,8,22,10.0,0.3441,0,0
ACC-PRG-20050,2025-12-26T22:26:00,25.459225,81.848724,Katra / Allahabad Univ,Dense Urban Street,30,1,Low,Clear,Late Night,22,4,0,12,19,10.0,0.3007,0,0
ACC-PRG-20051,2026-04-29T08:58:00,25.417416,81.799651,Kareli Urban Zone,Local Residential,30,1,Moderate,Clear,Morning Rush,8,2,0,4,2,4.5,0.2393,0,0
ACC-PRG-20052,2025-11-08T03:06:00,25.43223,81.836581,Rambagh Railway Station Area,Dense Urban Street,30,2,Moderate,Clear,Early Hours,3,5,1,11,8,10.0,0.2425,0,0
ACC-PRG-20053,2026-06-26T19:23:00,25.428766,81.7793,Jhalwa / IIIT-A Corridor,State Highway,45,2,Moderate,Clear,Evening Rush,19,4,0,6,8,10.0,0.3111,0,0
ACC-PRG-20054,2025-05-04T01:37:00,25.380754,81.868191,Naini Industrial Area,Suburban Arterial,50,2,Low,Dust Storm,Early Hours,1,6,1,5,12,10.0,0.3737,0,0
ACC-PRG-20055,2026-07-14T19:21:00,25.380138,81.856919,Naini Industrial Area,State Highway,50,2,Moderate,Rain,Evening Rush,19,1,0,7,6,10.0,0.368,0,0
ACC-PRG-20056,2026-07-18T22:16:00,25.415271,81.856106,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,High,Monsoon Overcast,Late Night,22,5,1,7,16,10.0,0.3867,0,0
ACC-PRG-20057,2026-05-10T13:33:00,25.474291,81.758031,Naini Industrial Area,Dense Urban Street,30,1,Moderate,Dust Storm,Afternoon Off-Peak,13,6,1,5,0,0.0,0.1659,0,0
ACC-PRG-20058,2026-08-03T01:50:00,25.40878,81.860432,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,High,Monsoon Overcast,Early Hours,1,0,0,8,3,6.75,0.3325,0,0
ACC-PRG-20059,2026-03-25T16:24:00,25.402826,81.772159,Prayagraj Junction (Civil Lines side),Local Residential,40,2,High,Clear,Evening Rush,16,2,0,3,1,4.0,0.211,0,0
ACC-PRG-20060,2025-06-13T18:13:00,25.518827,81.861609,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,High,Clear,Evening Rush,18,4,0,6,13,10.0,0.4107,1,0
ACC-PRG-20061,2026-06-22T08:19:00,25.513655,81.922274,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,6,High,Dust Storm,Morning Rush,8,0,0,6,5,10.0,0.4449,0,0
ACC-PRG-20062,2026-07-01T07:18:00,25.433539,81.899314,Shastri Bridge (Ganga),Bridge / Flyover,50,2,Congested,Clear,Morning Rush,7,2,0,7,5,10.0,0.3005,0,0
ACC-PRG-20063,2025-02-22T20:15:00,25.424256,81.861251,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,Moderate,Monsoon Overcast,Evening Rush,20,5,1,2,4,10.0,0.4632,0,0
ACC-PRG-20064,2026-01-13T10:05:00,25.425132,81.774986,Jhalwa / IIIT-A Corridor,Suburban Arterial,45,4,High,Monsoon Overcast,Afternoon Off-Peak,10,1,0,1,10,10.0,0.3875,0,0
ACC-PRG-20065,2025-02-28T20:52:00,25.440677,81.848255,Georgetown,Local Residential,35,1,High,Clear,Evening Rush,20,4,0,2,22,10.0,0.2034,0,0
ACC-PRG-20066,2025-01-17T17:42:00,25.464989,81.841818,Katra / Allahabad Univ,Dense Urban Street,30,2,Congested,Dust Storm,Evening Rush,17,4,0,1,10,10.0,0.3495,0,0
ACC-PRG-20067,2025-08-14T10:17:00,25.515061,81.859296,Curzon Bridge / Phaphamau,Bridge / Flyover,50,4,Low,Clear,Afternoon Off-Peak,10,3,0,8,10,10.0,0.326,0,0
ACC-PRG-20068,2026-05-06T02:31:00,25.451556,81.748952,GT Road / Bamrauli Corridor,National Highway,65,4,High,Clear,Early Hours,2,2,0,5,6,10.0,0.3275,0,0
ACC-PRG-20069,2025-10-16T00:19:00,25.491341,81.775908,Rambagh Railway Station Area,Dense Urban Street,40,2,High,Clear,Early Hours,0,3,0,10,0,0.0,0.117,0,0
ACC-PRG-20070,2025-03-15T13:15:00,25.518303,81.861159,Curzon Bridge / Phaphamau,Bridge / Flyover,50,4,Low,Clear,Afternoon Off-Peak,13,5,1,3,11,10.0,0.3563,0,0
ACC-PRG-20071,2026-01-22T12:01:00,25.444354,81.846571,Civil Lines,Dense Urban Street,40,1,Low,Clear,Afternoon Off-Peak,12,3,0,1,24,10.0,0.2844,1,0
ACC-PRG-20072,2025-01-14T00:50:00,25.465149,81.867473,Katra / Allahabad Univ,Local Residential,30,1,Moderate,Clear,Early Hours,0,1,0,1,4,10.0,0.1907,0,0
ACC-PRG-20073,2026-03-31T05:19:00,25.435829,81.842853,Rambagh Railway Station Area,Dense Urban Street,30,1,Low,Clear,Early Hours,5,1,0,3,21,10.0,0.3129,0,0
ACC-PRG-20074,2025-02-15T03:34:00,25.377649,81.870302,Naini Industrial Area,Suburban Arterial,50,4,Low,Clear,Early Hours,3,5,1,2,6,10.0,0.3809,1,0
ACC-PRG-20075,2026-01-30T04:22:00,25.457466,81.836886,Civil Lines,Dense Urban Street,40,2,High,Dense Fog / Smog,Early Hours,4,4,0,1,23,10.0,0.3186,0,0
ACC-PRG-20076,2025-04-23T07:06:00,25.379072,81.873747,Naini Industrial Area,State Highway,50,4,Low,Dust Storm,Morning Rush,7,2,0,4,7,10.0,0.4323,0,0
ACC-PRG-20077,2025-02-14T19:09:00,25.382993,81.839601,Jhalwa / IIIT-A Corridor,Local Residential,30,1,High,Clear,Evening Rush,19,4,0,2,0,0.0,0.1695,0,0
ACC-PRG-20078,2025-11-05T19:52:00,25.303421,81.72448,Naini Old Bridge (Yamuna),National Highway,80,4,Moderate,Clear,Evening Rush,19,2,0,11,0,0.0,0.1427,0,0
ACC-PRG-20079,2025-09-29T22:51:00,25.45288,81.839037,Rambagh Railway Station Area,Dense Urban Street,30,1,High,Clear,Late Night,22,0,0,9,30,10.0,0.3272,0,0
ACC-PRG-20080,2026-05-05T02:07:00,25.425052,81.846216,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Low,Clear,Early Hours,2,1,0,5,11,10.0,0.3294,0,0
ACC-PRG-20081,2026-01-30T11:20:00,25.424565,81.855087,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,High,Dense Fog / Smog,Afternoon Off-Peak,11,4,0,1,14,10.0,0.5353,1,0
ACC-PRG-20082,2025-09-09T12:26:00,25.40832,81.827411,Kareli Urban Zone,Local Residential,30,1,Moderate,Rain,Afternoon Off-Peak,12,1,0,9,5,10.0,0.3341,0,0
ACC-PRG-20083,2025-08-13T22:05:00,25.455403,81.743089,GT Road / Bamrauli Corridor,National Highway,65,4,Moderate,Clear,Late Night,22,2,0,8,4,9.0,0.3447,1,0
ACC-PRG-20084,2025-05-17T03:03:00,25.429603,81.756995,Jhalwa / IIIT-A Corridor,State Highway,45,2,Moderate,Dust Storm,Early Hours,3,5,1,5,3,10.0,0.3617,0,0
ACC-PRG-20085,2025-08-18T01:47:00,25.452087,81.744471,GT Road / Bamrauli Corridor,National Highway,65,4,Moderate,Clear,Early Hours,1,0,0,8,6,10.0,0.3983,0,0
ACC-PRG-20086,2025-04-19T21:37:00,25.452573,81.741037,GT Road / Bamrauli Corridor,National Highway,65,4,Low,Clear,Late Night,21,5,1,4,8,10.0,0.3308,0,0
ACC-PRG-20087,2025-01-13T18:53:00,25.425014,81.888307,Sangam / Daraganj,Dense Urban Street,30,1,Moderate,Dense Fog / Smog,Evening Rush,18,0,0,1,9,10.0,0.4705,0,0
ACC-PRG-20088,2025-11-03T15:26:00,25.445333,81.828322,Prayagraj Junction (Civil Lines side),Local Residential,25,1,Moderate,Clear,Afternoon Off-Peak,15,0,0,11,25,10.0,0.2228,0,0
ACC-PRG-20089,2025-02-02T19:48:00,25.426209,81.859658,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,Low,Clear,Evening Rush,19,6,1,2,5,10.0,0.4266,1,0
ACC-PRG-20090,2025-09-22T18:32:00,25.503852,81.927354,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,Moderate,Rain,Evening Rush,18,0,0,9,9,10.0,0.4868,1,0
ACC-PRG-20091,2025-05-09T23:13:00,25.434525,81.87849,Sangam / Daraganj,Dense Urban Street,30,1,Moderate,Clear,Late Night,23,4,0,5,16,10.0,0.2701,1,0
ACC-PRG-20092,2026-04-25T15:20:00,25.43617,81.885048,Sangam / Daraganj,Local Residential,30,2,Low,Clear,Afternoon Off-Peak,15,5,1,4,22,10.0,0.2243,0,0
ACC-PRG-20093,2025-07-19T08:06:00,25.437488,81.778191,Jhalwa / IIIT-A Corridor,State Highway,45,4,Low,Clear,Morning Rush,8,5,1,7,4,9.5,0.278,0,0
ACC-PRG-20094,2025-01-12T09:12:00,25.385557,81.868878,Naini Industrial Area,Suburban Arterial,50,2,Moderate,Dense Fog / Smog,Morning Rush,9,6,1,1,8,10.0,0.4076,0,0
ACC-PRG-20095,2026-05-11T01:03:00,25.44921,81.822933,MG Marg Corridor,State Highway,45,2,Congested,Clear,Early Hours,1,0,0,5,24,10.0,0.3336,1,0
ACC-PRG-20096,2025-11-19T12:46:00,25.48107,81.873524,Teliyarganj / MNNIT Area,Dense Urban Street,40,1,Moderate,Clear,Afternoon Off-Peak,12,2,0,11,2,8.75,0.2358,0,0
ACC-PRG-20097,2025-06-03T00:37:00,25.445518,81.823606,Prayagraj Junction (Civil Lines side),Local Residential,25,1,Moderate,Monsoon Overcast,Early Hours,0,1,0,6,23,10.0,0.2985,0,0
ACC-PRG-20098,2025-04-06T22:14:00,25.51993,81.912585,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,High,Dust Storm,Late Night,22,6,1,4,0,0.0,0.3782,0,0
ACC-PRG-20099,2026-06-20T10:28:00,25.449366,81.819551,Prayagraj Junction (Civil Lines side),Local Residential,25,2,Moderate,Monsoon Overcast,Afternoon Off-Peak,10,5,1,6,9,10.0,0.249,0,0
ACC-PRG-20100,2026-02-01T07:13:00,25.461735,81.733381,GT Road / Bamrauli Corridor,National Highway,65,4,Congested,Monsoon Overcast,Morning Rush,7,6,1,2,4,10.0,0.3663,0,0
ACC-PRG-20101,2025-01-16T04:49:00,25.447461,81.85037,Rambagh Railway Station Area,Dense Urban Street,30,2,Low,Dense Fog / Smog,Early Hours,4,3,0,1,34,10.0,0.3455,0,0
ACC-PRG-20102,2025-10-14T18:23:00,25.446516,81.85182,Georgetown,Dense Urban Street,35,1,High,Clear,Evening Rush,18,1,0,10,32,10.0,0.3226,0,0
ACC-PRG-20103,2025-05-24T03:36:00,25.488368,81.961858,Rambagh Railway Station Area,State Highway,60,4,Moderate,Clear,Early Hours,3,5,1,5,0,0.0,0.1866,0,0
ACC-PRG-20104,2026-06-09T19:20:00,25.430328,81.854998,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Moderate,Clear,Evening Rush,19,1,0,6,6,10.0,0.3097,0,0
ACC-PRG-20105,2025-02-28T23:50:00,25.452146,81.852602,MG Marg Corridor,Suburban Arterial,45,2,Low,Clear,Late Night,23,4,0,2,17,10.0,0.2535,0,0
ACC-PRG-20106,2026-02-13T02:14:00,25.48947,81.865915,Teliyarganj / MNNIT Area,Local Residential,40,1,Moderate,Clear,Early Hours,2,4,0,2,13,10.0,0.2648,0,0
ACC-PRG-20107,2025-07-04T23:06:00,25.503124,81.937853,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,6,High,Monsoon Overcast,Late Night,23,4,0,7,5,10.0,0.5269,1,0
ACC-PRG-20108,2025-12-17T19:31:00,25.421373,81.813672,Kareli Urban Zone,Local Residential,30,1,Moderate,Clear,Evening Rush,19,2,0,12,6,10.0,0.247,0,0
ACC-PRG-20109,2026-04-27T04:40:00,25.450806,81.845727,MG Marg Corridor,Suburban Arterial,45,2,Congested,Clear,Early Hours,4,0,0,4,30,10.0,0.3175,1,0
ACC-PRG-20110,2026-03-17T15:13:00,25.310395,81.849439,MG Marg Corridor,Major Arterial,50,4,Moderate,Clear,Afternoon Off-Peak,15,1,0,3,0,0.0,0.0824,0,0
ACC-PRG-20111,2025-03-12T08:25:00,25.444843,81.896396,Shastri Bridge (Ganga),Bridge / Flyover,50,4,High,Clear,Morning Rush,8,2,0,3,10,10.0,0.2818,0,0
ACC-PRG-20112,2025-02-25T02:57:00,25.471129,81.859018,Katra / Allahabad Univ,Local Residential,30,2,Low,Dense Fog / Smog,Early Hours,2,1,0,2,6,10.0,0.404,0,0
ACC-PRG-20113,2026-07-03T22:50:00,25.440605,81.730439,GT Road / Bamrauli Corridor,National Highway,65,6,Moderate,Clear,Late Night,22,4,0,7,7,10.0,0.368,0,0
ACC-PRG-20114,2026-07-29T19:12:00,25.495519,81.875575,Teliyarganj / MNNIT Area,Dense Urban Street,40,2,High,Clear,Evening Rush,19,2,0,7,5,10.0,0.3318,1,0
ACC-PRG-20115,2026-04-15T04:31:00,25.418301,81.812815,Kareli Urban Zone,Dense Urban Street,30,2,Moderate,Dust Storm,Early Hours,4,2,0,4,5,10.0,0.3972,0,0
ACC-PRG-20116,2026-04-06T20:37:00,25.468916,81.818781,NH-19 Bypass (Varanasi-Kanpur),Dense Urban Street,40,1,Moderate,Clear,Evening Rush,20,0,0,4,0,0.0,0.1501,0,0
ACC-PRG-20117,2025-08-10T11:13:00,25.450134,81.894753,Shastri Bridge (Ganga),Bridge / Flyover,50,2,Moderate,Monsoon Overcast,Afternoon Off-Peak,11,6,1,8,7,10.0,0.3345,0,0
ACC-PRG-20118,2025-05-08T22:31:00,25.36272,81.736134,Georgetown,National Highway,70,6,Moderate,Clear,Late Night,22,3,0,5,0,0.0,0.1936,0,0
ACC-PRG-20119,2026-07-10T13:33:00,25.42854,81.765843,Jhalwa / IIIT-A Corridor,State Highway,45,2,Congested,Monsoon Overcast,Afternoon Off-Peak,13,4,0,7,10,10.0,0.2944,0,0
ACC-PRG-20120,2025-06-16T17:27:00,25.42855,81.755099,Jhalwa / IIIT-A Corridor,Suburban Arterial,45,4,High,Clear,Evening Rush,17,0,0,6,3,10.0,0.3265,0,0
ACC-PRG-20121,2025-04-02T20:01:00,25.549437,81.835522,Naini Industrial Area,Local Residential,30,1,Moderate,Clear,Evening Rush,20,2,0,4,0,0.0,0.1223,0,0
ACC-PRG-20122,2026-05-31T18:51:00,25.376927,81.853189,Naini Industrial Area,State Highway,50,4,Moderate,Clear,Evening Rush,18,6,1,5,6,10.0,0.2893,1,0
ACC-PRG-20123,2026-04-26T03:22:00,25.482512,81.858037,Teliyarganj / MNNIT Area,Local Residential,40,2,Congested,Dust Storm,Early Hours,3,6,1,4,5,10.0,0.4255,0,0
ACC-PRG-20124,2026-01-19T07:32:00,25.488319,81.864244,Teliyarganj / MNNIT Area,Local Residential,40,2,High,Clear,Morning Rush,7,0,0,1,14,10.0,0.3016,1,0
ACC-PRG-20125,2025-01-05T13:02:00,25.450917,81.739458,GT Road / Bamrauli Corridor,National Highway,65,4,High,Clear,Afternoon Off-Peak,13,6,1,1,7,10.0,0.2998,1,0
ACC-PRG-20126,2025-11-22T10:10:00,25.457156,81.84065,Prayagraj Junction (Civil Lines side),Local Residential,25,1,Moderate,Monsoon Overcast,Afternoon Off-Peak,10,5,1,11,26,10.0,0.2247,0,0
ACC-PRG-20127,2026-02-07T01:51:00,25.484832,81.861041,Teliyarganj / MNNIT Area,Local Residential,40,1,Congested,Dense Fog / Smog,Early Hours,1,5,1,2,12,10.0,0.3418,0,0
ACC-PRG-20128,2025-11-22T16:10:00,25.442542,81.884902,Shastri Bridge (Ganga),Bridge / Flyover,50,2,High,Clear,Evening Rush,16,5,1,11,16,10.0,0.4482,0,0
ACC-PRG-20129,2026-02-06T20:58:00,25.393334,81.866488,Naini Industrial Area,Suburban Arterial,50,2,Congested,Clear,Evening Rush,20,4,0,2,8,10.0,0.4166,0,0
ACC-PRG-20130,2025-01-12T20:49:00,25.437741,81.876052,Sangam / Daraganj,Dense Urban Street,30,1,Moderate,Dense Fog / Smog,Evening Rush,20,6,1,1,8,10.0,0.3804,0,0
ACC-PRG-20131,2026-01-02T05:15:00,25.441463,81.972406,Naini Old Bridge (Yamuna),National Highway,80,4,Moderate,Dense Fog / Smog,Early Hours,5,4,0,1,0,0.0,0.2606,0,0
ACC-PRG-20132,2026-01-23T08:42:00,25.513961,81.85938,Phaphamau NH-19 Junction,National Highway,70,4,Congested,Clear,Morning Rush,8,4,0,1,11,10.0,0.3814,0,0
ACC-PRG-20133,2025-05-06T03:09:00,25.38447,81.878808,Naini Industrial Area,Major Arterial,50,2,Low,Clear,Early Hours,3,1,0,5,5,10.0,0.2707,1,0
ACC-PRG-20134,2026-05-18T00:26:00,25.515539,81.868424,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,Moderate,Clear,Early Hours,0,0,0,5,18,10.0,0.4259,0,0
ACC-PRG-20135,2026-04-07T05:11:00,25.417169,81.82344,Kareli Urban Zone,Dense Urban Street,30,1,Low,Clear,Early Hours,5,1,0,4,16,10.0,0.2968,0,0
ACC-PRG-20136,2026-07-14T00:10:00,25.429368,81.769308,Jhalwa / IIIT-A Corridor,State Highway,45,2,Low,Rain,Early Hours,0,1,0,7,11,10.0,0.358,0,0
ACC-PRG-20137,2025-06-06T06:55:00,25.434874,81.839674,Civil Lines,Dense Urban Street,40,1,Moderate,Clear,Morning Rush,6,4,0,6,13,10.0,0.2635,0,0
ACC-PRG-20138,2026-05-09T06:05:00,25.416443,81.869328,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Moderate,Clear,Morning Rush,6,5,1,5,6,10.0,0.312,1,0
