id,defect_type,lat,lng,nearest_cluster,severity,status,department_id,photo_url,created_at,resolved_at,is_active
REP-PRG-10038,Streetlight Defect,25.440196,81.845608,Rambagh Railway Station Area,High,Resolved,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10038.jpg,2026-02-12T21:47:52,2026-02-14T21:47:52,0
REP-PRG-10039,Pothole,25.492734,81.847099,Teliyarganj / MNNIT Area,High,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10039.jpg,2026-04-20T04:14:05,,1
REP-PRG-10040,Pothole,25.437743,81.850857,Rambagh Railway Station Area,Moderate,Resolved,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10040.jpg,2026-05-30T03:44:26,2026-06-01T03:44:26,0
REP-PRG-10041,Pothole,25.431823,81.815854,Kareli Urban Zone,Moderate,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10041.jpg,2026-05-16T13:43:55,,1
REP-PRG-10042,Drainage Issues,25.442532,81.833986,MG Marg Corridor,Low,AI Verified,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10042.jpg,2026-06-02T10:28:27,,1
REP-PRG-10043,Pothole,25.532323,81.86763,Phaphamau NH-19 Junction,Critical,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10043.jpg,2026-05-30T05:38:44,,1
REP-PRG-10044,Streetlight Defect,25.444762,81.842106,MG Marg Corridor,Moderate,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10044.jpg,2026-05-14T19:31:07,,1
REP-PRG-10045,Pothole,25.460777,81.862749,Katra / Allahabad Univ,High,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10045.jpg,2026-04-12T12:45:54,,1
REP-PRG-10046,Streetlight Defect,25.439384,81.856379,Georgetown,Critical,Resolved,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10046.jpg,2026-01-04T00:41:08,2026-01-15T00:41:08,0
REP-PRG-10047,Pothole,25.381863,81.853292,Naini Industrial Area,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10047.jpg,2026-03-31T10:30:16,,1
REP-PRG-10048,Pothole,25.527369,81.867088,Phaphamau NH-19 Junction,Low,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10048.jpg,2026-06-30T19:00:51,,1
REP-PRG-10049,Pothole,25.447041,81.826123,Prayagraj Junction (Civil Lines side),High,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10049.jpg,2026-06-19T11:46:17,,1
REP-PRG-10050,Pothole,25.406677,81.851635,Naini Old Bridge (Yamuna),Critical,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10050.jpg,2026-02-09T17:54:57,,1
REP-PRG-10051,Streetlight Defect,25.442258,81.852582,Georgetown,High,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10051.jpg,2026-06-12T17:36:40,,1
REP-PRG-10052,Streetlight Defect,25.44571,81.831232,Prayagraj Junction (Civil Lines side),Critical,In Progress,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10052.jpg,2026-01-25T07:05:36,,1
REP-PRG-10053,Garbage Accumulation,25.465089,81.741397,GT Road / Bamrauli Corridor,Low,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10053.jpg,2026-02-04T07:11:47,,1
REP-PRG-10054,Pothole,25.46206,81.854404,Katra / Allahabad Univ,Moderate,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10054.jpg,2026-05-24T08:21:07,,1
REP-PRG-10055,Pothole,25.36965,81.864788,Naini Industrial Area,Critical,Resolved,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10055.jpg,2026-05-20T09:18:42,2026-05-27T09:18:42,0
REP-PRG-10056,Streetlight Defect,25.418482,81.874706,Naini Old Bridge (Yamuna),Low,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10056.jpg,2026-01-11T21:01:38,,1
REP-PRG-10057,Garbage Accumulation,25.510461,81.860412,Curzon Bridge / Phaphamau,High,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10057.jpg,2026-05-24T22:47:44,,1
REP-PRG-10058,Drainage Issues,25.417722,81.845651,Naini Old Bridge (Yamuna),Moderate,AI Verified,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10058.jpg,2026-02-15T23:00:40,,1
REP-PRG-10059,Pothole,25.461743,81.840915,Civil Lines,Critical,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10059.jpg,2026-04-16T17:02:07,,1
REP-PRG-10060,Pothole,25.466328,81.847725,Katra / Allahabad Univ,High,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10060.jpg,2026-01-11T01:08:14,,1
REP-PRG-10061,Pothole,25.536222,81.853785,Phaphamau NH-19 Junction,Critical,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10061.jpg,2026-02-28T16:06:59,,1
REP-PRG-10062,Garbage Accumulation,25.457295,81.852424,Civil Lines,Moderate,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10062.jpg,2026-01-18T18:09:45,,1
REP-PRG-10063,Streetlight Defect,25.420076,81.76547,Jhalwa / IIIT-A Corridor,Moderate,Resolved,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10063.jpg,2026-05-18T20:03:24,2026-05-20T20:03:24,0
REP-PRG-10064,Drainage Issues,25.385797,81.860972,Naini Industrial Area,Moderate,Assigned,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10064.jpg,2026-03-09T09:23:34,,1
REP-PRG-10065,Streetlight Defect,25.372595,81.865549,Naini Industrial Area,Moderate,In Progress,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10065.jpg,2026-04-23T06:04:17,,1
REP-PRG-10066,Pothole,25.438502,81.831789,Prayagraj Junction (Civil Lines side),Critical,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10066.jpg,2026-01-12T23:52:34,,1
REP-PRG-10067,Streetlight Defect,25.445245,81.847299,Civil Lines,High,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10067.jpg,2026-06-21T15:10:25,,1
REP-PRG-10068,Streetlight Defect,25.421734,81.767424,Jhalwa / IIIT-A Corridor,Critical,Resolved,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10068.jpg,2026-06-09T19:25:45,2026-06-21T19:25:45,0
REP-PRG-10069,Garbage Accumulation,25.391508,81.855153,Naini Industrial Area,Moderate,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10069.jpg,2026-04-15T19:52:33,,1
REP-PRG-10070,Garbage Accumulation,25.49382,81.873457,Teliyarganj / MNNIT Area,Moderate,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10070.jpg,2026-06-20T21:48:15,,1
REP-PRG-10071,Streetlight Defect,25.42614,81.891477,Shastri Bridge (Ganga),Moderate,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10071.jpg,2026-01-01T19:03:49,,1
REP-PRG-10072,Pothole,25.447079,81.865255,Georgetown,High,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10072.jpg,2026-03-25T00:55:46,,1
REP-PRG-10073,Streetlight Defect,25.500104,81.919436,NH-19 Bypass (Varanasi-Kanpur),Moderate,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10073.jpg,2026-02-14T07:59:16,,1
REP-PRG-10074,Pothole,25.434176,81.882376,Sangam / Daraganj,High,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10074.jpg,2026-01-24T16:33:04,,1
REP-PRG-10075,Pothole,25.447004,81.861772,Georgetown,Low,Reported,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10075.jpg,2026-03-05T01:17:57,,1
REP-PRG-10076,Streetlight Defect,25.42456,81.881858,Sangam / Daraganj,Critical,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10076.jpg,2026-06-28T21:58:48,,1
REP-PRG-10077,Pothole,25.441845,81.842285,Rambagh Railway Station Area,Low,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10077.jpg,2026-01-28T23:28:44,,1
REP-PRG-10078,Pothole,25.539926,81.868791,Phaphamau NH-19 Junction,Critical,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10078.jpg,2026-01-14T04:17:40,,1
REP-PRG-10079,Drainage Issues,25.51547,81.870252,Phaphamau NH-19 Junction,Low,Reported,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10079.jpg,2026-04-30T03:20:16,,1
REP-PRG-10080,Drainage Issues,25.412203,81.826297,Kareli Urban Zone,Critical,Assigned,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10080.jpg,2026-05-10T23:32:13,,1
REP-PRG-10081,Drainage Issues,25.519269,81.923435,NH-19 Bypass (Varanasi-Kanpur),High,AI Verified,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10081.jpg,2026-03-08T17:00:06,,1
REP-PRG-10082,Garbage Accumulation,25.467707,81.858302,Katra / Allahabad Univ,Moderate,Assigned,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10082.jpg,2026-03-13T00:00:54,,1
REP-PRG-10083,Garbage Accumulation,25.436576,81.895174,Sangam / Daraganj,Moderate,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10083.jpg,2026-05-19T10:56:01,,1
REP-PRG-10084,Pothole,25.416037,81.84897,Naini Old Bridge (Yamuna),Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10084.jpg,2026-02-24T10:20:18,,1
REP-PRG-10085,Pothole,25.442884,81.733474,GT Road / Bamrauli Corridor,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10085.jpg,2026-02-22T23:17:49,,1
REP-PRG-10086,Drainage Issues,25.491383,81.865729,Teliyarganj / MNNIT Area,Moderate,Assigned,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10086.jpg,2026-05-28T21:50:57,,1
REP-PRG-10087,Pothole,25.441714,81.854617,Rambagh Railway Station Area,Moderate,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10087.jpg,2026-04-19T03:35:45,,1
REP-PRG-10088,Streetlight Defect,25.525104,81.876628,Phaphamau NH-19 Junction,Moderate,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10088.jpg,2026-04-10T20:14:17,,1
REP-PRG-10089,Garbage Accumulation,25.489883,81.884761,Teliyarganj / MNNIT Area,High,Resolved,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10089.jpg,2026-06-10T03:26:48,2026-06-12T03:26:48,0
REP-PRG-10090,Streetlight Defect,25.497005,81.856143,Teliyarganj / MNNIT Area,High,Reported,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10090.jpg,2026-04-20T12:56:26,,1
REP-PRG-10091,Pothole,25.501433,81.93386,NH-19 Bypass (Varanasi-Kanpur),Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10091.jpg,2026-04-27T19:54:00,,1
REP-PRG-10092,Garbage Accumulation,25.418212,81.825712,Kareli Urban Zone,Moderate,In Progress,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10092.jpg,2026-04-18T17:11:05,,1
REP-PRG-10093,Streetlight Defect,25.433786,81.879417,Sangam / Daraganj,High,Reported,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10093.jpg,2026-03-31T16:09:49,,1
REP-PRG-10094,Garbage Accumulation,25.423226,81.867881,Sangam / Daraganj,High,In Progress,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10094.jpg,2026-03-05T15:15:30,,1
REP-PRG-10095,Streetlight Defect,25.449028,81.841751,Civil Lines,Moderate,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10095.jpg,2026-01-31T04:32:00,,1
REP-PRG-10096,Streetlight Defect,25.513713,81.848034,Curzon Bridge / Phaphamau,Moderate,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10096.jpg,2026-06-06T06:06:33,,1
REP-PRG-10097,Garbage Accumulation,25.386385,81.868083,Naini Industrial Area,Low,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10097.jpg,2026-05-29T08:56:05,,1
REP-PRG-10098,Streetlight Defect,25.437929,81.86023,Georgetown,Critical,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10098.jpg,2026-02-20T10:46:01,,1
REP-PRG-10099,Pothole,25.525466,81.855856,Phaphamau NH-19 Junction,High,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10099.jpg,2026-06-03T12:24:26,,1
REP-PRG-10100,Pothole,25.451862,81.842486,MG Marg Corridor,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10100.jpg,2026-05-11T07:34:34,,1
REP-PRG-10101,Pothole,25.428664,81.82843,Kareli Urban Zone,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10101.jpg,2026-04-21T21:11:12,,1
REP-PRG-10102,Garbage Accumulation,25.498979,81.922497,NH-19 Bypass (Varanasi-Kanpur),Moderate,Assigned,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10102.jpg,2026-06-16T17:50:00,,1
REP-PRG-10103,Streetlight Defect,25.44362,81.85211,Rambagh Railway Station Area,High,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10103.jpg,2026-03-24T16:56:17,,1
REP-PRG-10104,Pothole,25.43412,81.910822,Sangam / Daraganj,Moderate,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10104.jpg,2026-05-27T06:13:17,,1
REP-PRG-10105,Pothole,25.496567,81.872085,Teliyarganj / MNNIT Area,Moderate,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10105.jpg,2026-05-05T15:43:22,,1
REP-PRG-10106,Garbage Accumulation,25.435632,81.775211,Jhalwa / IIIT-A Corridor,Moderate,In Progress,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10106.jpg,2026-06-29T18:03:31,,1
REP-PRG-10107,Streetlight Defect,25.450078,81.840972,Civil Lines,Low,AI Verified,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10107.jpg,2026-04-16T01:47:18,,1
REP-PRG-10108,Garbage Accumulation,25.518817,81.863105,Phaphamau NH-19 Junction,High,AI Verified,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10108.jpg,2026-01-05T11:23:16,,1
REP-PRG-10109,Pothole,25.441117,81.859655,Georgetown,High,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10109.jpg,2026-05-29T21:26:08,,1
REP-PRG-10110,Streetlight Defect,25.458017,81.833062,Rambagh Railway Station Area,Moderate,Resolved,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10110.jpg,2026-05-21T20:02:37,2026-05-28T20:02:37,0
REP-PRG-10111,Pothole,25.51549,81.917098,NH-19 Bypass (Varanasi-Kanpur),Moderate,Reported,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10111.jpg,2026-02-19T19:29:19,,1
REP-PRG-10112,Garbage Accumulation,25.381225,81.873712,Naini Industrial Area,Critical,Assigned,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10112.jpg,2026-02-19T15:52:41,,1
REP-PRG-10113,Pothole,25.440014,81.839378,Rambagh Railway Station Area,Moderate,In Progress,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10113.jpg,2026-06-02T18:18:13,,1
REP-PRG-10114,Drainage Issues,25.379278,81.870437,Naini Industrial Area,Moderate,AI Verified,Jal_Sansthan_Drainage_Div,https://storage.roadguard.ai/prayagraj/defects/img_10114.jpg,2026-03-19T08:30:54,,1
REP-PRG-10115,Pothole,25.412157,81.856732,Naini Old Bridge (Yamuna),Critical,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10115.jpg,2026-06-28T12:35:51,,1
REP-PRG-10116,Pothole,25.439865,81.842787,Rambagh Railway Station Area,Low,AI Verified,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10116.jpg,2026-05-04T00:02:13,,1
REP-PRG-10117,Pothole,25.437152,81.825071,Kareli Urban Zone,Low,Resolved,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10117.jpg,2026-05-03T12:09:13,2026-05-06T12:09:13,0
REP-PRG-10118,Streetlight Defect,25.475799,81.864492,Teliyarganj / MNNIT Area,Moderate,Assigned,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10118.jpg,2026-02-08T13:25:55,,1
REP-PRG-10119,Pothole,25.439706,81.865819,Georgetown,Moderate,Assigned,PWD_Road_Maintenance,https://storage.roadguard.ai/prayagraj/defects/img_10119.jpg,2026-04-18T06:04:31,,1
REP-PRG-10120,Garbage Accumulation,25.51866,81.864082,Phaphamau NH-19 Junction,Moderate,Resolved,Prayagraj_Nagar_Nigam_Sanitation,https://storage.roadguard.ai/prayagraj/defects/img_10120.jpg,2026-03-19T05:25:39,2026-03-27T05:25:39,0
REP-PRG-10121,Streetlight Defect,25.44904,81.865926,Georgetown,Low,Resolved,UPPCL_Streetlight_Cell,https://storage.roadguard.ai/prayagraj/defects/img_10121.jpg,2026-01-26T15:33:55,2026-02-07T15:33:55,0
